FECHA,HORA,TIPO TRANSACCION,CODIGO CLIENTE,CODIGO ARTICULO, DESCRIPCION, PRECIO UNITARIO, CANTIDAD, TOTAL
2020-08-20,16:11:26.512610,9,ACEITE DE ALMENDRAS 250ML,340,1,340
2020-08-20,16:11:26.512610,42,Posacepillos simple (para 2 u),555,1,555
2020-08-20,17:45:02.593309,3,JABON 90GS,140,1,140
2020-08-20,17:45:02.593309,4,DESODORANTE,320,1,320
2020-08-20,17:50:10.994204,11,CREMA AC.ALMENDRA  0 JAZMIN 10,410,1,410
2020-08-20,17:50:10.994204,92,Menta,420,1,420
2020-08-20,17:56:21.588087,8,ACEITE DE COCO 250ML,300,1,300
2020-08-20,17:56:21.588087,2,ACONDICIONADOR SOLIDO 65GS,470,1,470
2020-08-20,17:57:56.546074,14,PEINES CHICOS,260,1,260
2020-08-20,17:57:56.546074,22,HISOPOS,100 UNIDADES,165,1,165
2020-08-20,18:00:28.536998,15,PEINES GRANDES,330,1,330
2020-08-20,18:00:28.537992,16,ESPONJA VEGETAL,110,1,110
2020-08-20,18:01:40.713338,10,CREMA KARITE 0 AC.COCO 100GR,365,1,365
2020-08-20,18:01:40.713338,21,COPITA MAGGACUP,1280,1,1280
2020-08-20,18:21:50.297428,37,Pack 30 ACONDICIONADOR Cortesí,3090,1,3090
2020-08-20,18:21:50.297428,45,Jabones Esenciales -sin cajita,255,1,255
2020-08-20,18:21:50.297428,66,Almohadilla Térmica Cervical,1145,1,1145
2020-08-29,17:22:49.257301,ventas,15,#PEINES GRANDES,330,100,33000
2020-09-02,15:19:05.748787,ventas,30,#Shampoo Seco 100 grs ,550,180,99000
2020-09-05,18:51:08.694228,ventas,2,1,#SHAMPOO SOLIDO 85GS,350,5,1750
2020-09-05,18:53:49.864198,ventas,4,1,#SHAMPOO SOLIDO 85GS,350,10,3500
2020-09-05,19:18:24.029137,ventas,5,14,#PEINES CHICOS,260,2,520
2020-09-05,19:22:59.298652,ventas,3,6,#CEPILLO DE DIENTES,160,10,1600
2020-09-05,19:26:12.029492,ventas,4,13,#ESMALTES,160,10,1600
2020-09-05,19:47:23.649300,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,4,1400
2020-09-06,15:50:41.081924,ventas,2,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,15:52:35.829644,ventas,2,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:03:34.816390,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:10:16.621608,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:12:10.076094,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:30:40.886099,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:44:18.295882,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,6,2100
2020-09-06,16:45:33.640118,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,3,1050
2020-09-06,16:46:13.841949,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:48:18.515855,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,1,350
2020-09-06,16:51:42.256235,ventas,3,30,#Shampoo Seco 100 grs ,550,1,550
2020-09-06,16:51:42.256235,ventas,3,1,#SHAMPOO SOLIDO 85GS,350,3,1050
2020-09-06,16:54:12.174968,ventas,3,31,#Shampoo Anticaspa/Graso 100 gr,550,3,1650
2020-09-06,16:54:12.174968,ventas,3,36,#Pack 30 SHAMPOO Cortesía Frag ,2575,1,2575
2020-09-06,17:08:57.002913,ventas,3,25,#SET ECO CUBIERTOS,390,10,3900
2020-09-06,17:13:59.163931,ventas,2,26,#SORBETE ALUMINIO 0 LIMPIADOR,90,5,450
2020-09-06,17:15:46.434730,ventas,3,36,#Pack 30 SHAMPOO Cortesía Frag ,2575,4,10300
2020-09-06,17:19:19.348204,ventas,2,48,#Agua de Rosas env. vidrio 120 ,390,1,390
2020-09-06,17:34:18.319295,ventas,3,28,#Pasta Dental  env. vidrio (Euc,455,1,455
2020-09-10,16:28:40.632272,ventas,3,9,#ACEITE DE ALMENDRAS 250ML,340,10,3400
2020-09-10,16:35:50.605270,ventas,3,27,#Desodorante env. vidrio (Lavan,455,10,4550
2020-09-10,16:37:11.371947,ventas,3,34,#Acondicionador 100 grs ,635,10,6350
2020-09-10,17:25:49.635887,ventas,3,14,#PEINES CHICOS,260,9,2340
2020-09-10,17:28:03.946784,ventas,3,14,#PEINES CHICOS,260,3,780
2020-09-10,17:37:02.230068,ventas,3,17,#ESPONJA MANOPLA,130,10,1300
2020-09-10,17:54:18.451848,ventas,3,18,#4 PROTECTORES DIARIOS C7U,200,1,200
2020-09-10,18:01:16.592908,ventas,2,24,#RASURADORA 0 6 FILOS,680,10,6800
2020-09-10,18:01:46.034594,ventas,1,30,#Shampoo Seco 100 grs ,550,10,5500
2020-09-12,17:20:57.769315,ventas,5,1,#SHAMPOO SOLIDO 85GS,350,10,3500
2020-09-21,15:01:20.376206,ventas,3,14,#PEINES CHICOS,260,5,1300
2020-09-21,15:01:20.376206,ventas,3,15,#PEINES GRANDES,330,9,2970
2020-09-21,15:03:30.094384,ventas,3,5,#PASTA DE DIENTE 50GS,280,5,1400
2020-09-21,15:03:30.094384,ventas,3,28,#Pasta Dental  env. vidrio (Euc,455,10,4550
